,WAR,AB,R,HR,TB,RBI,BB,IB,SF,AVG,OBP,SLG,OPS,wRC+
0,8.32,544,143,38,352,109,66,7,7,0.347,0.42,0.647,1.067,172.5
1,3.42,552,92,26,285,97,41,4,5,0.31,0.359,0.516,0.875,121.2
2,2.78,515,86,5,199,61,48,1,6,0.307,0.363,0.386,0.749,95.7
3,2.38,423,48,9,189,57,30,0,0,0.329,0.38,0.447,0.827,117.4
4,2.17,438,75,9,184,56,50,0,5,0.292,0.371,0.42,0.791,110.1
5,1.73,374,51,21,191,80,38,1,7,0.291,0.357,0.511,0.868,118.4
6,1.54,425,67,22,212,109,52,4,5,0.28,0.361,0.499,0.86,119.0
7,1.54,287,39,7,131,41,21,1,6,0.307,0.351,0.456,0.807,105.2
8,1.51,203,40,1,82,26,36,0,3,0.31,0.416,0.404,0.82,124.5
9,1.13,235,24,7,90,34,12,0,1,0.264,0.328,0.383,0.711,85.3
10,0.72,168,22,5,79,21,16,0,1,0.304,0.369,0.47,0.839,119.0
11,0.54,191,36,1,63,18,45,0,4,0.262,0.401,0.33,0.731,107.0
13,0.42,65,17,0,25,11,4,0,0,0.308,0.348,0.385,0.733,89.2
14,0.18,399,56,9,160,54,44,0,3,0.288,0.361,0.401,0.762,99.8
15,0.16,105,27,0,41,11,6,0,0,0.295,0.339,0.39,0.729,89.0
17,-0.02,32,3,1,13,4,4,0,0,0.25,0.333,0.406,0.739,92.0
24,-0.23,59,12,1,13,4,8,0,0,0.136,0.239,0.22,0.459,16.0
25,2.97,510,95,4,184,47,71,1,8,0.284,0.376,0.361,0.737,100.2
26,2.17,533,83,34,260,107,49,1,3,0.246,0.316,0.488,0.804,104.5
27,3.71,521,81,18,248,81,32,4,4,0.28,0.328,0.476,0.804,104.3
28,3.09,474,78,29,249,92,63,3,9,0.283,0.368,0.525,0.893,132.0
29,3.21,430,57,17,206,94,40,5,6,0.314,0.379,0.479,0.858,125.3
30,3.2,417,69,7,178,61,36,0,6,0.309,0.384,0.427,0.811,122.0
31,0.97,328,60,0,96,30,33,1,4,0.265,0.334,0.293,0.627,65.5
32,1.68,311,43,10,150,48,27,1,6,0.305,0.36,0.482,0.842,119.6
33,1.16,252,31,5,95,31,22,0,3,0.278,0.337,0.377,0.714,86.7
34,-0.32,248,34,2,74,32,17,1,3,0.246,0.301,0.298,0.599,54.5
35,1.01,231,39,3,84,23,22,0,1,0.277,0.341,0.364,0.705,87.9
36,1.47,186,25,7,76,28,21,0,1,0.226,0.313,0.409,0.722,86.6
37,1.59,144,29,10,95,39,21,0,1,0.326,0.42,0.66,1.08,183.7
38,0.68,126,20,1,46,11,19,0,1,0.302,0.395,0.365,0.76,112.2
39,-0.69,75,10,1,14,7,8,0,2,0.133,0.23,0.187,0.417,5.6
57,2.41,526,88,24,239,89,60,9,4,0.272,0.356,0.454,0.81,106.5
58,1.33,473,64,13,202,66,49,1,4,0.3,0.37,0.427,0.797,107.9
59,2.13,455,75,24,221,70,63,5,2,0.275,0.364,0.486,0.85,116.7
60,1.14,436,61,20,202,83,49,1,5,0.271,0.351,0.463,0.814,108.9
61,0.61,413,59,12,180,61,45,0,4,0.291,0.363,0.436,0.799,106.5
62,1.39,349,52,3,130,35,31,0,1,0.301,0.365,0.372,0.737,95.1
63,0.59,336,49,1,112,46,26,0,3,0.277,0.332,0.333,0.665,72.4
64,1.82,280,34,4,94,37,33,0,6,0.257,0.371,0.336,0.707,96.6
65,0.58,289,56,9,119,44,29,0,1,0.263,0.335,0.412,0.747,91.6
66,0.5,260,29,5,107,47,24,1,2,0.277,0.34,0.412,0.752,93.2
67,1.18,210,37,2,83,22,25,0,2,0.286,0.367,0.395,0.762,102.2
68,-0.21,133,26,0,37,13,16,0,1,0.233,0.322,0.278,0.6,61.5
69,-0.29,134,10,1,39,16,7,1,5,0.239,0.287,0.291,0.578,44.0
70,0.25,137,16,1,54,11,10,0,0,0.292,0.349,0.394,0.743,94.7
71,-0.99,131,11,1,36,7,10,0,0,0.237,0.301,0.275,0.576,48.1
72,-0.15,93,20,1,28,13,8,0,0,0.204,0.282,0.301,0.583,50.9
73,0.02,76,5,1,20,7,8,0,0,0.224,0.322,0.263,0.585,58.8
74,0.06,64,10,1,19,6,13,0,0,0.172,0.312,0.297,0.609,64.6
75,-0.24,57,10,0,16,7,6,0,0,0.158,0.25,0.281,0.531,35.5
76,0.47,42,4,0,15,4,9,0,0,0.286,0.423,0.357,0.78,119.8
77,0.4,48,10,4,28,9,3,0,0,0.271,0.314,0.583,0.897,119.1
78,0.01,36,6,0,9,4,3,0,0,0.222,0.282,0.25,0.532,34.4
83,6.13,527,88,19,273,104,64,2,8,0.34,0.409,0.518,0.927,148.9
84,5.16,509,90,11,233,75,47,2,7,0.326,0.383,0.458,0.841,124.1
85,-0.03,482,49,13,188,84,47,2,9,0.257,0.325,0.39,0.715,86.1
86,1.96,473,82,13,190,60,49,1,1,0.266,0.352,0.402,0.754,103.6
87,3.17,382,69,11,194,57,39,0,2,0.33,0.399,0.508,0.907,145.9
88,-0.07,288,27,0,81,26,14,0,4,0.243,0.297,0.281,0.578,52.1
89,-0.42,254,21,0,81,35,28,0,3,0.256,0.329,0.319,0.648,73.5
90,0.22,261,27,9,109,38,18,0,4,0.257,0.3,0.418,0.718,79.2
91,-0.2,219,16,5,75,21,11,0,1,0.251,0.289,0.342,0.631,57.6
92,1.42,183,27,1,68,12,31,0,1,0.306,0.429,0.372,0.801,136.7
93,-0.04,189,26,0,54,10,7,1,1,0.222,0.249,0.286,0.535,27.5
94,0.2,174,24,5,66,25,15,1,2,0.23,0.299,0.379,0.678,73.3
95,0.05,129,23,0,40,6,13,0,0,0.256,0.333,0.31,0.643,73.8
96,-0.33,119,14,4,35,13,17,0,0,0.168,0.288,0.294,0.582,55.7
97,0.36,102,19,4,37,19,22,1,0,0.216,0.36,0.363,0.723,100.7
98,-0.22,112,12,2,39,11,10,0,2,0.25,0.306,0.348,0.654,67.3
99,-0.53,91,5,0,24,8,14,0,2,0.22,0.33,0.264,0.594,66.4
