WAR,PA,AB,R,HR,TB,RBI,BB,IB,SF,AVG,OBP,SLG,OPS,wRC+
3.98,535,453,102,3,174,36,60,2,1,0.316,0.405,0.384,0.789,112.7
5.16,567,509,90,11,233,75,47,2,7,0.326,0.383,0.458,0.841,124.1
2.17,593,533,83,34,260,107,49,1,3,0.246,0.316,0.488,0.804,104.5
4.55,550,468,93,37,278,107,55,1,7,0.291,0.384,0.594,0.978,145.9
5.69,568,493,92,33,309,115,55,4,6,0.343,0.417,0.627,1.044,162.3
5.06,637,524,96,5,215,73,96,3,4,0.336,0.447,0.41,0.857,142.3
1.96,537,473,82,13,190,60,49,1,1,0.266,0.352,0.402,0.754,103.6
1.33,533,473,64,13,202,66,49,1,4,0.3,0.37,0.427,0.797,107.9
1.14,498,436,61,20,202,83,49,1,5,0.271,0.351,0.463,0.814,108.9
3.75,475,385,61,9,146,49,51,1,5,0.252,0.371,0.379,0.75,108.4
4.42,591,541,82,21,291,118,28,3,9,0.36,0.399,0.538,0.937,137.2
3.71,566,521,81,18,248,81,32,4,4,0.28,0.328,0.476,0.804,104.3
3.13,613,532,97,14,241,85,67,1,5,0.293,0.376,0.453,0.829,113.0
2.24,562,488,78,16,200,73,52,1,8,0.258,0.337,0.41,0.747,95.0
2.41,601,526,88,24,239,89,60,9,4,0.272,0.356,0.454,0.81,106.5
8.32,625,544,143,38,352,109,66,7,7,0.347,0.42,0.647,1.067,172.5
1.54,487,425,67,22,212,109,52,4,5,0.28,0.361,0.499,0.86,119.0
3.03,458,389,71,14,163,66,58,1,3,0.26,0.365,0.419,0.784,104.8
2.29,509,456,65,28,221,79,45,0,4,0.252,0.321,0.485,0.806,97.8
5.06,604,527,99,32,302,132,61,6,13,0.319,0.384,0.573,0.957,147.8
2.78,577,515,86,5,199,61,48,1,6,0.307,0.363,0.386,0.749,95.7
4.32,602,519,80,22,263,101,65,3,13,0.301,0.372,0.507,0.879,130.4
2.17,508,438,75,9,184,56,50,0,5,0.292,0.371,0.42,0.791,110.1
6.5,670,572,108,32,325,112,88,9,4,0.329,0.421,0.568,0.989,153.3
3.23,489,418,53,19,188,81,60,1,8,0.268,0.355,0.45,0.805,104.2
6.13,602,527,88,19,273,104,64,2,8,0.34,0.409,0.518,0.927,148.9
1.76,543,483,89,11,202,49,50,0,2,0.275,0.345,0.418,0.763,92.2
2.22,489,407,59,7,191,66,69,1,7,0.312,0.411,0.469,0.88,129.7
3.2,477,417,69,7,178,61,36,0,6,0.309,0.384,0.427,0.811,122.0
2.03,553,482,72,6,173,56,46,0,9,0.263,0.336,0.359,0.695,86.1
4.4,498,434,58,20,200,80,55,2,7,0.272,0.349,0.461,0.81,111.0
3.21,485,430,57,17,206,94,40,5,6,0.314,0.379,0.479,0.858,125.3
3.42,602,552,92,26,285,97,41,4,5,0.31,0.359,0.516,0.875,121.2
1.01,468,405,57,7,148,53,47,3,3,0.262,0.351,0.365,0.716,86.4
3.32,452,403,48,19,200,77,35,2,6,0.303,0.365,0.496,0.861,115.6
4.7,528,457,75,8,204,50,54,4,4,0.328,0.406,0.446,0.852,129.6
1.8,483,423,57,17,205,82,49,0,5,0.293,0.369,0.485,0.854,115.7
3.77,511,416,66,13,188,77,77,1,6,0.3,0.417,0.452,0.869,137.9
2.97,608,510,95,4,184,47,71,1,8,0.284,0.376,0.361,0.737,100.2
2.13,522,455,75,24,221,70,63,5,2,0.275,0.364,0.486,0.85,116.7
